TransactionID,Date,ProductCategory,Price,UnitsSold,CustomerAge,CustomerMembership,Discount,Region,PaymentMethod,IsPromotional,TotalSales
T000001,2025-04-13,Sports,46.22,7,42.00381915496647,Silver,3.9,South,Credit Card,False,310.92
T000002,2025-06-29,Clothing,33.16,4,20.378537647762062,Silver,4.9,North,PayPal,True,126.14
T000003,2025-04-03,Electronics,280.43,5,66.11071761766856,Bronze,1.8,West,Digital Wallet,False,1376.91
T000004,2025-01-15,Clothing,54.98,4,42.06774949930724,Silver,0.5,North,Digital Wallet,False,218.82
T000005,2025-04-17,Electronics,264.32,5,48.715026110497035,Bronze,3.4,South,Digital Wallet,False,1276.67
T000006,2025-03-13,Beauty,41.36,5,39.655117671755995,Bronze,12.5,East,Cash,True,180.95
T000007,2025-01-21,Electronics,177.84,3,49.632992964921414,Silver,0.5,South,Credit Card,False,530.85
T000008,2025-04-13,Clothing,29.7,4,39.9083844208153,Silver,3.6,East,Credit Card,False,114.52
T000009,2025-05-02,Clothing,39.99,4,48.699754240585015,Gold,4.4,East,PayPal,False,152.92
T000010,2025-03-16,Beauty,24.97,5,57.5607450971673,Bronze,3.4,North,Credit Card,False,120.61
T000011,2025-03-29,Electronics,301.96,3,18.0,Bronze,9.7,North,Credit Card,False,818.01
T000012,2025-04-27,Electronics,276.5,3,49.995436663573145,Bronze,11.7,West,PayPal,True,732.45
T000013,2025-04-10,Electronics,164.76,6,35.64755932951721,Bronze,2.3,South,PayPal,False,965.82
T000014,2025-04-14,Electronics,299.09,3,28.743493986381576,Silver,5.9,North,Cash,False,844.33
T000015,2025-06-01,Electronics,221.48,5,24.67755732766755,Bronze,15.8,East,Digital Wallet,True,932.43
T000016,2025-05-11,Home & Kitchen,77.0,5,43.17151399053108,Bronze,22.2,North,PayPal,True,299.53
T000017,2025-05-30,Electronics,151.36,2,45.3837976402944,Silver,7.8,North,Digital Wallet,False,279.11
T000018,2025-02-22,Electronics,293.35,4,34.49110184353793,Gold,6.0,North,Cash,False,1103.0
T000019,2025-01-02,Sports,45.27,5,26.90008270345565,Silver,8.4,North,Credit Card,False,207.34
T000020,2025-03-29,Clothing,61.2,7,43.376090735648134,Gold,3.8,West,Credit Card,False,412.12
T000021,2025-06-07,Clothing,38.98,5,42.832885609570575,Bronze,4.0,South,Credit Card,False,187.1
